sku_id,selected_model_key,selected_model,score,policy
01550M0612A,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,506.5002794067065,required_18m_gap3
021620616A000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,108.68965702694516,required_18m_gap3
083100012A000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,242.8497838973999,required_18m_gap3
083161010A000,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
083313124A000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,159.9553066950578,required_18m_gap3
0911605023000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,915.7537596566336,required_18m_gap3
0911912006XC0,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
0911912007000,block_sba,Block SBA Croston,84.46230083530999,required_18m_gap3
09136M05078000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,133.02934623899915,required_18m_gap3
0914016023000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,152.7800623859678,required_18m_gap3
0914806007000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,146.75514441111991,required_18m_gap3
09148M06022000,block_recent6,Block recent 6-month mean,111.76470588235294,required_18m_gap3
0915912024000,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
0915912079000,block_recent6,Block recent 6-month mean,113.88888888888889,required_18m_gap3
0915912L02000,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
0915918022000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,59.06644186170975,required_18m_gap3
0915918024000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,793.5134090483189,required_18m_gap3
0915924009000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,108.55373779068823,required_18m_gap3
0916435003000,block_sba,Block SBA Croston,121.82875310269083,required_18m_gap3
0924130010000,block_sba,Block SBA Croston,100.0,required_18m_gap3
0928017002000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,61.261910305747506,required_18m_gap3
0928022020000,block_sba,Block SBA Croston,82.11786643182614,required_18m_gap3
0928056004000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,106.1252717578083,required_18m_gap3
0928314005000,block_recent6,Block recent 6-month mean,103.77358490566037,required_18m_gap3
0928326016000,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,55.83856919916665,required_18m_gap3
0928335036000,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
0928340021000,block_sba,Block SBA Croston,51.93846141209872,required_18m_gap3
0928340027000,block_sba,Block SBA Croston,44.27316824269786,required_18m_gap3
0928345012000,block_seasonal,Block historical month-of-year mean,46.13095238095238,required_18m_gap3
0928906003000,block_tsb,Block TSB,61.94221169827176,required_18m_gap3
